timestamp,robot_name,par,timeframe,direcao,score_tecnico,contributing_indicators,reason
2025-04-13 04:44:18,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:44:18,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:45:21,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:45:21,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:45:21,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:46:14,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:46:14,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:46:14,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:47:20,frouxo,XRPUSDT,1d,LONG,1.125,MACD;Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:47:20,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:47:20,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:48:26,frouxo,XRPUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:48:26,frouxo,DOGEUSDT,1d,LONG,0.775,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:48:26,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:49:19,frouxo,XRPUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:49:19,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:49:19,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:50:21,frouxo,XRPUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:50:21,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:50:21,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:51:19,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:51:19,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:51:19,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
