signal_id,par,direcao,preco_entrada,preco_saida,quantity,lucro_percentual,pnl_realizado,resultado,timestamp,timestamp_saida,estado,strategy_name,contributing_indicators,localizadores,motivos,timeframe,aceito,parametros,quality_score
b4b7fe45-1879-4b53-89ba-103657f1b524,DOGEUSDT,LONG,0.16318,0.16703,111.5012867923438,2.359357764431928,2.359357764431928,TP,2025-04-13 13:29:57,2025-04-14 01:47:26,fechado,ROBOT 1 LEO,SMA;EMA;RSI;MACD;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
b11f656e-44d1-4122-b7c5-48d4ec8293ec,XRPUSDT,LONG,2.167,2.1019,187.58715562969323,-3.0041532071988795,-3.0041532071988795,SL,2025-04-13 13:30:27,2025-04-13 18:02:18,fechado,ROBOT PADRAO 1,SMA;EMA;RSI;MACD;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
a01ee679-2acb-4f6e-8953-8e9150e4247f,XRPUSDT,LONG,2.1666,2.1019,67.04131968666918,-2.986245730637855,-2.986245730637855,SL,2025-04-13 13:30:55,2025-04-13 18:02:18,fechado,hard,SMA;EMA;RSI;MACD;ADX;Volume;Bollinger;Estocastico;VWAP;OBV;Fibonacci;Sentimento;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.76}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
7ffbc125-b249-42cd-998a-a8bb149eb91f,TRXUSDT,LONG,0.2524,0.2587,81.68376626461857,2.4960380348652818,2.4960380348652818,TP,2025-04-13 13:31:28,2025-04-14 00:14:44,fechado,only1,SMA;EMA;RSI;MACD;ADX;Volume;Bollinger;Estocastico;VWAP;OBV;Fibonacci;Sentimento;Swing Trade Composite,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
8f3e9a0a-933f-4798-bd63-83e0d52f881f,DOGEUSDT,LONG,0.16309,0.16703,95.02987226694374,2.41584401250843,2.41584401250843,TP,2025-04-13 13:31:58,2025-04-14 01:47:26,fechado,frouxo,MACD;Volume;Swing Trade Composite,"{""EMA12>EMA50"": ""false"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""true"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.3}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
5863b9de-5d68-41c6-a0ae-9b557629e8b9,XRPUSDT,LONG,2.1678,2.1019,142.44657156156006,-3.039948334717228,-3.039948334717228,SL,2025-04-13 13:32:26,2025-04-13 18:02:18,fechado,robo do um porcento ,SMA;EMA;RSI;MACD;ADX;Volume;Bollinger;Estocastico;VWAP;OBV;Fibonacci;Sentimento,"{""EMA12>EMA50"": ""true"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""false"", ""Swing_Trade_Composite_SHORT"": ""false"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 1.1, ""sl_percent"": 0.8, ""leverage"": 20}",0.5
91ec0cf4-7790-4b4f-b686-45673ec047fe,DOGEUSDT,SHORT,0.16198,0.16381,180.5035267806177,-1.129769107297196,-1.129769107297196,SL,2025-04-13 18:02:47,2025-04-13 21:12:42,fechado,Robô 00,SMA;EMA;RSI;MACD;ADX;Volume;Bollinger;Estocastico;VWAP;OBV;Fibonacci;Sentimento;Swing Trade Composite,"{""EMA12>EMA50"": ""false"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""false"", ""Swing_Trade_Composite_SHORT"": ""true"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
ff1c250e-c3de-47ba-92e9-68db4170cff8,DOGEUSDT,SHORT,0.16183,0.16381,133.07639990616664,-1.223506148427368,-1.223506148427368,SL,2025-04-13 18:03:16,2025-04-13 21:12:42,fechado,ROBOT 1 LEO,SMA;EMA;RSI;MACD;Swing Trade Composite,"{""EMA12>EMA50"": ""false"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""false"", ""Swing_Trade_Composite_SHORT"": ""true"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
3c030f2d-4038-459b-9a5b-b77325bf8c58,DOGEUSDT,SHORT,0.16188,0.16381,136.37696781840302,-1.192241166296031,-1.192241166296031,SL,2025-04-13 18:03:45,2025-04-13 21:12:42,fechado,ROBOT PADRAO 1,SMA;EMA;RSI;MACD;Swing Trade Composite,"{""EMA12>EMA50"": ""false"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""false"", ""Swing_Trade_Composite_SHORT"": ""true"", ""ML_Confidence"": 0.5}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
a0c7fcb2-28f8-44d7-97dc-419dfc07989b,XRPUSDT,SHORT,2.0991,2.1235,140.2167057166096,-1.162402934591014,-1.162402934591014,SL,2025-04-13 18:04:14,2025-04-13 21:10:21,fechado,hard,SMA;EMA;RSI;MACD;ADX;Volume;Bollinger;Estocastico;VWAP;OBV;Fibonacci;Sentimento;Swing Trade Composite,"{""EMA12>EMA50"": ""false"", ""RSI Sobrevendido"": ""false"", ""MACD Cruzamento Alta"": ""false"", ""Swing_Trade_Composite_LONG"": ""false"", ""Swing_Trade_Composite_SHORT"": ""true"", ""ML_Confidence"": 0.76}",Ordem gerada com base em indicadores reais,1m,True,"{""tp_percent"": 2.0, ""sl_percent"": 1.0, ""leverage"": 22}",0.5
